"customer_request","answer"
"Sehr geehrte Damen und Herren, wir haben am 08.03.2024 eine Bestellung (Nr. 240308-001) für 3 Stück der Schweißnahtüberwachungsanlage SNU-200 aufgegeben. Die Bestellung sollte laut Auftragsbestätigung am 15.03.2024 versendet werden. Bisher ist jedoch nichts bei uns eingetroffen. Könnten Sie bitte den aktuellen Status der Lieferung überprüfen?","Sehr geehrter Herr Kunde, vielen Dank für Ihre Anfrage. Wir haben Ihre Bestellung 240308-001 geprüft. Es scheint zu einer Verzögerung beim Versand gekommen zu sein, da ein benötigtes Bauteil kurzfristig nachbestellt werden musste. Die voraussichtliche Versandtermin ist nun der 22.03.2024. Sie erhalten eine Versandbestätigung mit der Sendungsnummer, sobald die Ware unser Werk verlässt."
"Guten Tag, bei unserer Drehmaschine DM-500 leuchtet seit gestern die Warnmeldung 'Übertemperatur Spindel'. Könnten Sie uns bitte mitteilen, was das bedeutet und welche Schritte wir zur Behebung des Problems unternehmen können?","Sehr geehrter Herr Kunde, die Warnmeldung 'Übertemperatur Spindel' bei der DM-500 deutet darauf hin, dass die Spindel zu heiß geworden ist. Mögliche Ursachen sind eine zu hohe Schnittgeschwindigkeit, ein unzureichender Kühlmittelfluss oder eine defekte Temperaturüberwachung. Bitte prüfen Sie zunächst den Kühlmittelstand und die Funktion der Kühlpumpe. Wenn das Problem weiterhin besteht, notieren Sie die genauen Bearbeitungsparameter und teilen Sie uns diese sowie die Seriennummer der Maschine mit."
"Wir haben im Januar eine Fertigungsstraße FSL-300 bei Ihnen erworben. Seit dem Start der Produktion stellen wir fest, dass die Durchlaufzeit deutlich länger ist als in Ihren technischen Unterlagen angegeben. Wir benötigen hierzu schnellstmöglich Unterstützung.","Sehr geehrter Herr Kunde, wir bedauern zu hören, dass die Durchlaufzeit der FSL-300 nicht Ihren Erwartungen entspricht. Bitte senden Sie uns die Seriennummer der Anlage sowie detaillierte Informationen zu den beobachteten Durchlaufzeiten und den eingesetzten Materialien. Unser Technischer Support wird sich umgehend mit Ihnen in Verbindung setzen, um das Problem zu analysieren."
"Sehr geehrte Damen und Herren, wir benötigen dringend Ersatzteile für unsere Hydraulikpresse HP-150. Konkret suchen wir die Dichtung für den Hauptzylinder (Art.-Nr. 4711-005), zwei neue Manometer (0-100 bar, Anschluss 1/4 Zoll) und einen Satz neuer Filter. Könnten Sie uns bitte ein Angebot zukommen lassen?","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für die benötigten Ersatzteile. Die Dichtung (4711-005) kostet 12,50 EUR/Stück, die Manometer (0-100 bar, 1/4 Zoll) 35,00 EUR/Stück und der Filtersatz 45,00 EUR. Die voraussichtliche Lieferzeit beträgt 3-5 Werktage. Bitte teilen Sie uns Ihre Lieferadresse und Ihre Bestellnummer mit."
"Hallo, wir möchten unsere Mitarbeiter in der Bedienung und Wartung der neuen CNC-Fräsmaschine CNC-F500 schulen lassen. Welche Schulungsoptionen bieten Sie an und wie hoch sind die Kosten?","Sehr geehrter Herr Kunde, wir bieten verschiedene Schulungen für die CNC-F500 an: Basisschulungen (1 Tag, 500 EUR pro Person), erweiterte Programmierungsschulungen (2 Tage, 800 EUR pro Person) und spezialisierte Wartungsschulungen (1 Tag, 600 EUR pro Person). Die Schulungen können in unserem Schulungszentrum oder bei Ihnen vor Ort stattfinden (zusätzliche Reisekosten). Detaillierte Informationen finden Sie unter [Link zur Schulungsseite]."
"Guten Tag, wir sind sehr zufrieden mit der Leistung unserer Walzmaschine WZM-800. Die Maschine hat unsere Produktion deutlich effizienter gemacht. Vielen Dank für die gute Qualität!","Sehr geehrter Herr Kunde, vielen Dank für Ihr positives Feedback! Wir freuen uns sehr zu hören, dass die WZM-800 Ihre Produktion verbessert hat. Ihre Zufriedenheit ist unser höchstes Ziel. Bei weiteren Fragen stehen wir Ihnen gerne zur Verfügung."
"Wir haben Probleme mit der Software unseres Steuerungssystems SCS-100. Es kommt immer wieder zu Abstürzen und Fehlermeldungen, insbesondere beim Import von DXF-Dateien. Könnten Sie uns hierzu Support anbieten?","Sehr geehrter Herr Kunde, wir verstehen, dass Abstürze und Fehlermeldungen die Arbeit beeinträchtigen. Bitte teilen Sie uns die genaue Fehlermeldung, die Version der SCS-100 Software und die Größe der DXF-Dateien mit, die zu Problemen führen. Unser Support-Team wird den Fall untersuchen und Ihnen eine Lösung anbieten."
"Ich benötige Informationen zur Wartung unserer Schleifmaschine SM-200. Gibt es einen detaillierten Wartungsplan und welche Spezialwerkzeuge benötigen wir?","Sehr geehrter Herr Kunde, einen detaillierten Wartungsplan für die SM-200 finden Sie im Handbuch, das Sie auf unserer Webseite unter [Link zum Handbuch] herunterladen können. Sie benötigen u.a. einen Drehmomentschlüssel, einen Satz Inbusschlüssel und ein Fettpresse. Im Handbuch sind die benötigten Werkzeuge für die einzelnen Wartungsschritte aufgeführt."
"Hallo, wir haben eine gelieferte CNC-Drehmaschine CDM-600 erhalten, die offensichtlich während des Transports beschädigt wurde. Es gibt deutliche Kratzer und Dellen am Gehäuse. Wie gehen wir am besten vor?","Sehr geehrter Herr Kunde, es tut uns leid zu hören, dass die CDM-600 beschädigt angekommen ist. Bitte senden Sie uns umgehend Fotos der Beschädigungen und der Verpackung sowie Ihre Bestellnummer. Wir werden den Schaden dem Transportunternehmen melden und Ihnen schnellstmöglich eine Lösung anbieten."
"Wir suchen einen Servicetechniker für unsere Verpackungsanlage PVA-400. Die Anlage steht seit gestern und wir können das Problem nicht selbst beheben. Es scheint ein Problem mit dem Bandlauf zu geben.","Sehr geehrter Herr Kunde, wir können Ihnen gerne einen Servicetechniker für die PVA-400 zur Verfügung stellen. Bitte teilen Sie uns die Seriennummer der Anlage und Ihren Standort mit. Wir werden einen Techniker in Ihrer Nähe beauftragen, sich umgehend mit Ihnen in Verbindung zu setzen."
"Ich habe eine Frage zur Bestellnummer 2024-02-10-001. Die Lieferung enthielt nicht alle bestellten Artikel. Es fehlt die Artikelnummer 5678-009 (Schutzbrille).","Sehr geehrter Herr Kunde, wir entschuldigen uns für die fehlende Artikelnummer 5678-009 in Ihrer Bestellung 2024-02-10-001. Wir senden Ihnen die Schutzbrille umgehend nach. Sie erhalten eine separate Versandbestätigung."
"Unsere Schweißanlage SA-300 macht ungewöhnliche Geräusche und die Schweißnähte sind unsauber. Was könnte die Ursache sein?","Sehr geehrter Herr Kunde, ungewöhnliche Geräusche und unsaubere Schweißnähte können verschiedene Ursachen haben, wie z.B. eine falsche Einstellung der Schweißparameter, verschlissene Elektroden oder ein Problem mit der Gaszufuhr. Bitte teilen Sie uns die Seriennummer Ihrer Anlage und eine genaue Beschreibung des Problems mit. Ein Servicetechniker kann die Anlage vor Ort überprüfen."
"Ich benötige ein Angebot für eine neue Softwarelizenz für unser CAD/CAM-System CAM-Pro mit 5 Arbeitsplätzen.","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für 5 Lizenzen von CAM-Pro. Die Kosten pro Lizenz betragen 1.500 EUR. Für 5 Lizenzen bieten wir einen Paketpreis von 6.750 EUR inkl. 1 Jahr Support und Updates."
"Ich benötige das Datenblatt für die CNC-Drehmaschine CDM-600 mit Live-Werkzeugwechsel.","Sehr geehrter Herr Kunde, das Datenblatt für die CNC-Drehmaschine CDM-600 mit Live-Werkzeugwechsel finden Sie unter folgendem Link: [Link zum Datenblatt]. Dort finden Sie alle technischen Details und Spezifikationen."
"Wir haben einen Garantieanspruch für unsere Stanze ST-100. Die Maschine ist innerhalb der Garantiezeit defekt gegangen. Es handelt sich um einen Defekt der Hydraulik.","Sehr geehrter Herr Kunde, wir nehmen Ihren Garantieanspruch für die Stanze ST-100 entgegen. Bitte teilen Sie uns die Seriennummer der Maschine mit. Wir werden einen Servicetechniker beauftragen, die Hydraulik zu überprüfen und gegebenenfalls zu reparieren."
"Ich suche ein Ersatzteil für unsere Förderbandanlage FBA-50. Es handelt sich um ein Umlenkrad (Art.-Nr. 9876-002).","Sehr geehrter Herr Kunde, das Umlenkrad (Art.-Nr. 9876-002) ist auf Lager. Der Preis beträgt 45,00 EUR pro Stück zuzüglich Versandkosten. Bitte teilen Sie uns Ihre Lieferadresse mit."
"Wir benötigen Unterstützung bei der Inbetriebnahme unserer neuen Laseranlage LA-200. Wir haben Probleme mit der Ausrichtung des Lasers.","Sehr geehrter Herr Kunde, wir bieten Ihnen gerne eine Vor-Ort-Inbetriebnahme der LA-200 an. Ein erfahrener Servicetechniker wird die Laseranlage ausrichten und Ihnen eine Einweisung geben. Bitte teilen Sie uns Ihren gewünschten Termin und Ihren Standort mit."
"Wir sind sehr zufrieden mit dem schnellen Service und der kompetenten Beratung durch Ihren Mitarbeiter Herrn Müller.","Sehr geehrter Herr Kunde, vielen Dank für Ihr positives Feedback! Wir freuen uns sehr, dass Sie mit dem Service und der Beratung von Herrn Müller zufrieden sind. Wir werden Ihre lobenden Worte an ihn weiterleiten."
"Die Verpackung unserer Lieferung war beschädigt und der Inhalt wurde teilweise beschädigt. Es handelt sich um eine Lieferung von Walzwerkzeugen.","Sehr geehrter Herr Kunde, es tut uns leid zu hören, dass die Lieferung beschädigt bei Ihnen angekommen ist. Bitte dokumentieren Sie den Schaden mit Fotos und reichen Sie diese zusammen mit Ihrer Bestellnummer bei uns ein. Wir werden den Schaden dem Transportunternehmen melden und Ihnen eine Ersatzlieferung zukommen lassen."
"Können Sie mir bitte Informationen zu den verschiedenen Kühlmitteln für unsere Drehmaschinen geben? Wir bearbeiten hauptsächlich Edelstahl.","Sehr geehrter Herr Kunde, für die Bearbeitung von Edelstahl empfehlen wir spezielle Kühlmittel auf Ölbasis, die eine gute Kühlleistung und Schmierung bieten. Detaillierte Informationen zu den empfohlenen Kühlmitteln und deren Spezifikationen finden Sie in unserem technischen Datenblatt unter [Link zum Datenblatt]."
"Ich habe eine Frage zur Funktionsweise der automatischen Werkzeugwechsler in der CNC-Fräsmaschine CNC-F500. Gibt es eine Möglichkeit, die Geschwindigkeit des Werkzeugwechsels zu beeinflussen?","Sehr geehrter Herr Kunde, die Geschwindigkeit des automatischen Werkzeugwechslers der CNC-F500 kann über die Parameter in der Steuerung angepasst werden. Detaillierte Informationen dazu finden Sie im Handbuch der Steuerung unter dem Kapitel 'Werkzeugwechselparameter'."
"Wir haben ein Problem mit der Genauigkeit unserer Messmaschine MM-300. Die Messergebnisse weichen stark von den Sollwerten ab, insbesondere bei der Messung von kleinen Bauteilen.","Sehr geehrter Herr Kunde, bei der Messung von kleinen Bauteilen mit der MM-300 ist es wichtig, die Messbedingungen zu optimieren und die Messfühler regelmäßig zu kalibrieren. Bitte stellen Sie sicher, dass die Maschine vibrationsfrei steht und die Umgebungstemperatur stabil ist. Eine Kalibrierung durch einen akkreditierten Kalibrierlabor ist empfehlenswert."
"Ich benötige ein Angebot für die Wartung unserer Pressenanlage PA-200 mit einem umfassenden Sicherheitscheck.","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für die Wartung der PA-200 Pressenanlage inklusive Sicherheitscheck. Die Kosten für eine umfassende Wartung mit Sicherheitscheck betragen 800,00 EUR zuzüglich Anfahrtskosten. Wir können Ihnen einen Termin in den nächsten Wochen anbieten."
"Wir haben am 10.03.2024 eine Bestellung für Verschleißteile aufgegeben (Bestellnummer: 240310-002). Die Lieferung ist noch nicht eingetroffen und wir benötigen die Teile dringend.","Sehr geehrter Herr Kunde, wir haben Ihre Bestellung 240310-002 geprüft. Es scheint zu einer Verzögerung beim Versand gekommen zu sein. Wir haben die Bestellung priorisiert und sie wird voraussichtlich am 18.03.2024 versendet. Sie erhalten eine Versandbestätigung mit der Sendungsnummer."
"Die Steuerung unserer Schleifmaschine zeigt eine Fehlermeldung 'F23 - Motorüberlastung' an, auch wenn keine Bearbeitung stattfindet.","Sehr geehrter Herr Kunde, die Fehlermeldung 'F23 - Motorüberlastung' auch ohne Bearbeitung deutet auf einen Defekt des Motors oder der Motorsteuerung hin. Bitte schalten Sie die Maschine aus und kontaktieren Sie unseren Servicetechniker für eine Inspektion."
"Ich benötige Informationen zur Energieeffizienz unserer Walzmaschinen. Gibt es Modelle mit besonders geringem Energieverbrauch?","Sehr geehrter Herr Kunde, unsere Walzmaschinen der Serie WZM-Eco sind besonders energieeffizient konzipiert. Sie verfügen über energieeffiziente Motoren, eine optimierte Steuerung und eine verbesserte Wärmedämmung. Detaillierte Informationen zur Energieeffizienz finden Sie in den technischen Datenblättern unter [Link zu den Datenblättern]."
"Wir haben eine Beschwerde über die Qualität der gelieferten Schweißdrähte. Es kommt häufig zu Porositäten in den Schweißnähten.","Sehr geehrter Herr Kunde, wir bedauern, dass Sie Probleme mit der Qualität der Schweißdrähte haben. Porositäten können durch Verunreinigungen im Schweißgut oder durch falsche Schweißparameter entstehen. Bitte senden Sie uns eine Probe der fehlerhaften Drähte und eine genaue Beschreibung der Schweißbedingungen zu, damit wir den Fall untersuchen können."
"Ich benötige ein Angebot für eine neue Kühlmittelpumpe für unsere Drehmaschine DM-500 mit einem Durchfluss von mindestens 50 l/min.","Sehr geehrter Herr Kunde, wir bieten Ihnen eine Kühlmittelpumpe für die DM-500 mit einem Durchfluss von 60 l/min zum Preis von 280,00 EUR zuzüglich Versandkosten an. Die Pumpe ist für verschiedene Kühlmitteltypen geeignet."
"Wir möchten unsere Mitarbeiter in der Programmierung von CNC-Maschinen schulen lassen, insbesondere im Bereich der 5-Achs-Bearbeitung.","Sehr geehrter Herr Kunde, wir bieten spezielle Schulungen für die 5-Achs-Bearbeitung an. Unsere Kurse vermitteln Ihnen das notwendige Wissen und die praktischen Fähigkeiten, um komplexe Teile effizient zu programmieren und zu fertigen. Detaillierte Informationen zu den Schulungsinhalten und Terminen finden Sie auf unserer Webseite unter [Link zur Schulungsseite]."
"Wir haben ein Problem mit der automatischen Schmierung unserer Pressenanlage. Die Schmierstellen werden nicht ausreichend versorgt.","Sehr geehrter Herr Kunde, ein Problem mit der automatischen Schmierung kann zu Verschleiß und Schäden an der Pressenanlage führen. Bitte überprüfen Sie zunächst den Kühlmittelstand im Tank, die Funktion der Schmierpumpe und die Leitungen auf Verstopfungen. Sollte das Problem weiterhin bestehen, empfehlen wir Ihnen, einen Servicetechniker zu beauftragen."
"Ich benötige Informationen zur Lebensdauer der Werkzeuge in unserer CNC-Fräsmaschine. Gibt es eine Möglichkeit, den Werkzeugverschleiß zu überwachen?","Sehr geehrter Herr Kunde, die Lebensdauer der Werkzeuge hängt von verschiedenen Faktoren ab. Einige unserer CNC-Fräsmaschinen verfügen über eine Werkzeugverschleißüberwachung, die den Werkzeugzustand anhand von verschiedenen Parametern (z.B. Spindelstrom, Bearbeitungskraft) überwacht. Detaillierte Informationen dazu finden Sie im Handbuch Ihrer Maschine."
"Wir haben eine Frage zur Garantieabdeckung unserer Schweißanlage. Die Anlage ist seit 6 Monaten in Betrieb und es ist ein Defekt aufgetreten.","Sehr geehrter Herr Kunde, die Garantieabdeckung unserer Schweißanlagen beträgt in der Regel 12 Monate ab dem Kaufdatum. Bitte teilen Sie uns die Seriennummer der Anlage und eine detaillierte Beschreibung des Defekts mit, damit wir Ihren Garantieanspruch prüfen können."
"Ich benötige einen Schaltplan für die elektrische Anlage unserer Förderbandanlage FBA-60.","Sehr geehrter Herr Kunde, wir senden Ihnen umgehend den Schaltplan für die elektrische Anlage der Förderbandanlage FBA-60 per E-Mail zu. Bitte geben Sie uns Ihre E-Mail-Adresse an."
"Wir suchen einen erfahrenen Servicetechniker für die Reparatur unserer CNC-Drehmaschine CDM-800 mit Fanuc-Steuerung.","Sehr geehrter Herr Kunde, wir verfügen über ein Netzwerk von erfahrenen Servicetechnikern, die sich mit Fanuc-Steuerungen auskennen. Bitte teilen Sie uns Ihren Standort mit, damit wir einen Techniker in Ihrer Nähe beauftragen können."
"Ich habe eine Frage zur Kompatibilität unserer alten Softwareversion CAM-Pro 2.0 mit der neuen CNC-Steuerung Sinumerik 840D sl.","Sehr geehrter Herr Kunde, die Kompatibilität von CAM-Pro 2.0 mit der Sinumerik 840D sl ist eingeschränkt. Es kann zu Problemen beim Postprozessor kommen. Wir empfehlen Ihnen, auf die neueste Version von CAM-Pro zu aktualisieren, um eine optimale Kompatibilität zu gewährleisten."
"Wir möchten ein Angebot für die Installation einer neuen Absauganlage mit Filteranlage für unsere Schweißstationen erhalten.","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für eine neue Absauganlage mit Filteranlage. Bitte teilen Sie uns die Anzahl der Schweißstationen und die Art der entstehenden Schadstoffe mit. Wir werden Ihnen dann ein individuelles Angebot erstellen."
"Die automatische Werkzeugwechsler in unserer CNC-Fräsmaschine CNC-F600 blockiert ständig. Was können wir tun?","Sehr geehrter Herr Kunde, ein blockierter Werkzeugwechsler kann durch verschmutzte Werkzeuge, eine falsche Programmierung oder einen Defekt des Wechselmechanismus verursacht werden. Bitte überprüfen Sie zunächst die Werkzeuge auf Verschmutzung und die Programmierung. Sollte das Problem weiterhin bestehen, ist eine Inspektion durch einen Servicetechniker erforderlich."
"Ich benötige Informationen zur Kalibrierung unserer Messmaschine MM-400. Welche Messstandards benötigen wir?","Sehr geehrter Herr Kunde, für die Kalibrierung der Messmaschine MM-400 benötigen Sie in der Regel Messstandards, wie z.B. Endmaße, Messringe und Höhenmaße. Die genauen Messstandards, die Sie benötigen, hängen von den zu messenden Bauteilen ab. Detaillierte Informationen finden Sie im Kalibrierhandbuch."
"Wir haben eine Beschwerde über die Lieferzeit eines Ersatzteils für unsere Pressenanlage. Wir warten seit 3 Wochen.","Sehr geehrter Herr Kunde, wir entschuldigen uns für die lange Lieferzeit des Ersatzteils für Ihre Pressenanlage. Wir haben den Fall umgehend geprüft und festgestellt, dass es zu einer Verzögerung beim Hersteller gekommen ist. Wir werden uns bemühen, das Ersatzteil schnellstmöglich zu beschaffen und Ihnen eine genaue Lieferzeit mitzuteilen."
"Ich benötige ein Datenblatt für die Hydraulikpresse HP-250 mit einem Hub von 200 mm.","Sehr geehrter Herr Kunde, das Datenblatt für die Hydraulikpresse HP-250 mit einem Hub von 200 mm finden Sie unter folgendem Link: [Link zum Datenblatt]. Dort finden Sie alle technischen Details und Spezifikationen."
"Wir möchten unsere Mitarbeiter in der Wartung von Schleifmaschinen schulen lassen, insbesondere im Bereich der Diamantschleifscheiben.","Sehr geehrter Herr Kunde, wir bieten spezielle Schulungen für die Wartung von Schleifmaschinen mit Diamantschleifscheiben an. Unsere Kurse vermitteln Ihnen das notwendige Wissen und die praktischen Fähigkeiten, um Diamantschleifscheiben richtig zu behandeln und zu warten. Detaillierte Informationen zu den Schulungsinhalten und Terminen finden Sie auf unserer Webseite unter [Link zur Schulungsseite]."
"Unsere Laseranlage LA-100 zeigt eine Fehlermeldung 'F15 - Laserkühler defekt' an, obwohl der Kühler neu ist.","Sehr geehrter Herr Kunde, wenn der Laserkühler neu ist und dennoch die Fehlermeldung 'F15' angezeigt wird, könnte ein Problem mit der Verkabelung oder der Steuerung vorliegen. Bitte überprüfen Sie die Verkabelung des Kühlers und kontaktieren Sie unseren Servicetechniker für eine Inspektion."
"Ich benötige ein Angebot für eine neue Förderbandanlage für unsere Produktion mit einer Förderleistung von 100 Stück pro Stunde.","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für eine neue Förderbandanlage mit einer Förderleistung von 100 Stück pro Stunde. Bitte teilen Sie uns die Größe und das Gewicht der zu transportierenden Produkte mit. Wir werden Ihnen dann ein individuelles Angebot erstellen."
"Wir haben ein Problem mit der Genauigkeit unserer CNC-Drehmaschine CDM-700. Die Teile werden nicht maßhaltig gefertigt, insbesondere bei kleinen Durchmessern.","Sehr geehrter Herr Kunde, bei der Bearbeitung von kleinen Durchmessern mit der CDM-700 ist es wichtig, die Spindelgenauigkeit zu überprüfen und die Werkzeuge korrekt auszurichten. Bitte führen Sie eine Spindelrunout-Messung durch und stellen Sie sicher, dass die Werkzeuge spielfrei eingespannt sind. Sollte das Problem weiterhin bestehen, ist eine Inspektion durch einen Servicetechniker erforderlich."
"Ich benötige Informationen zur Energieeffizienz unserer Walzmaschinen. Welche Maßnahmen können wir ergreifen, um den Energieverbrauch zu senken?","Sehr geehrter Herr Kunde, um den Energieverbrauch unserer Walzmaschinen zu senken, empfehlen wir Ihnen, die Maschinen regelmäßig zu warten, die Walzenoberfläche sauber zu halten und die Bearbeitungsparameter zu optimieren. Eine Umstellung auf energiesparende Motoren und eine Installation einer Frequenzsteuerung können ebenfalls zu einer deutlichen Reduzierung des Energieverbrauchs führen."
